#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Acetobacter nitrogenifigens	Bacteria	Proteobacteria	Alphaproteobacteria	4.27052	-	-	-	1
Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.16624	-	-	-	1
Acetobacter orientalis	Bacteria	Proteobacteria	Alphaproteobacteria	2.91069	-	-	-	1
Acetobacter orleanensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.01364	-	-	-	2
Acetobacter papayae	Bacteria	Proteobacteria	Alphaproteobacteria	3.04108	-	-	-	1
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	3.34025	1	-	7	15
Acetobacter persici	Bacteria	Proteobacteria	Alphaproteobacteria	3.70195	-	-	-	1
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	2.88342	-	-	-	2
Acetobacter senegalensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.96991	1	-	1	2
Acetobacter syzygii	Bacteria	Proteobacteria	Alphaproteobacteria	2.68737	-	-	-	1
Acetobacter tropicalis	Bacteria	Proteobacteria	Alphaproteobacteria	3.76963	-	-	-	5
Acetobacteraceae bacterium AT-5844	Bacteria	Proteobacteria	Alphaproteobacteria	5.19055	-	-	-	1
Acetobacterium bakii	Bacteria	Terrabacteria group	Firmicutes	4.13563	-	-	-	1
Acetobacterium dehalogenans	Bacteria	Terrabacteria group	Firmicutes	4.05007	-	-	-	1
Acetobacterium woodii	Bacteria	Terrabacteria group	Firmicutes	4.04478	1	-	-	1
Acetohalobium arabaticum	Bacteria	Terrabacteria group	Firmicutes	2.4696	1	-	-	1
Acetonema longum	Bacteria	Terrabacteria group	Firmicutes	4.32301	-	-	-	1
Acetothermia bacterium 64_32	Bacteria	unclassified Bacteria	Bacteria candidate phyla	1.8102	-	-	-	1
Acetothermia bacterium SCGC AAA255-C06	Bacteria	unclassified Bacteria	Bacteria candidate phyla	0.669384	-	-	-	1
Acheta domestica densovirus	Viruses	ssDNA viruses	Parvoviridae	0.005234	1	-	-	1
Acheta domesticus mini ambidensovirus	Viruses	ssDNA viruses	Parvoviridae	0.004945	1	-	-	1
Acheta domesticus volvovirus	Viruses	ssDNA viruses	unclassified	0.002517	1	-	-	1
Achimota virus 1	Viruses	ssRNA viruses	Paramyxoviridae	0.015624	1	-	-	1
Achimota virus 2	Viruses	ssRNA viruses	Paramyxoviridae	0.015504	1	-	-	1
Acholeplasma	Bacteria	Terrabacteria group	Tenericutes	1.12306	-	-	-	1
Acholeplasma axanthum	Bacteria	Terrabacteria group	Tenericutes	1.80712	-	-	-	1
Acholeplasma brassicae	Bacteria	Terrabacteria group	Tenericutes	1.87779	1	-	-	1
Acholeplasma equifetale	Bacteria	Terrabacteria group	Tenericutes	1.28237	-	-	-	1
Acholeplasma granularum	Bacteria	Terrabacteria group	Tenericutes	1.45354	-	-	-	1
Acholeplasma hippikon	Bacteria	Terrabacteria group	Tenericutes	1.43045	-	-	-	1
Acholeplasma laidlawii	Bacteria	Terrabacteria group	Tenericutes	1.49699	1	-	-	2
Acholeplasma modicum	Bacteria	Terrabacteria group	Tenericutes	1.21918	-	-	-	1
Acholeplasma multilocale	Bacteria	Terrabacteria group	Tenericutes	0.924993	-	-	-	1
Acholeplasma oculi	Bacteria	Terrabacteria group	Tenericutes	1.58712	1	-	-	1
Acholeplasma palmae	Bacteria	Terrabacteria group	Tenericutes	1.55423	1	-	-	1
Acholeplasma phage L2	Viruses	dsDNA viruses, no RNA stage	Plasmaviridae	0.011965	1	-	-	1
Acholeplasma phage MV-L1	Viruses	ssDNA viruses	Inoviridae	0.004491	1	-	-	1
Acholeplasmatales bacterium DTU056	Bacteria	Terrabacteria group	Tenericutes	1.20785	-	-	-	1
Acholeplasmatales bacterium DTU067	Bacteria	Terrabacteria group	Tenericutes	1.46914	-	-	-	2
Acholeplasmatales bacterium Tener_01	Bacteria	Terrabacteria group	Tenericutes	0.885702	-	-	-	1
Achromatium	Bacteria	Proteobacteria	Gammaproteobacteria	3.8456	-	-	-	3
Achromobacter	Bacteria	Proteobacteria	Betaproteobacteria	4.94124	-	-	-	42
Achromobacter arsenitoxydans	Bacteria	Proteobacteria	Betaproteobacteria	6.15666	-	-	-	1
Achromobacter denitrificans	Bacteria	Proteobacteria	Betaproteobacteria	6.70025	1	-	-	2
Achromobacter insuavis	Bacteria	Proteobacteria	Betaproteobacteria	6.86081	-	-	-	1
Achromobacter phage 83-24	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.048216	1	-	-	1
Achromobacter phage JWAlpha	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.072329	1	-	-	1
Achromobacter phage JWF	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.081541	1	-	-	1
Achromobacter phage JWX	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.049714	1	-	-	1
Achromobacter phage phiAxp-1	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.045045	1	-	-	1
Achromobacter phage phiAxp-2	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.06222	1	-	-	1
Achromobacter phage phiAxp-3	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.072409	1	-	-	1
Achromobacter piechaudii	Bacteria	Proteobacteria	Betaproteobacteria	6.8922	-	-	-	4
Achromobacter ruhlandii	Bacteria	Proteobacteria	Betaproteobacteria	6.68653	-	-	-	4
Achromobacter spanius	Bacteria	Proteobacteria	Betaproteobacteria	6.46849	-	-	-	1
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	6.81318	1	-	2	29
Aciculosporium take	Eukaryota	Fungi	Ascomycetes	58.8364	-	-	-	1
Acidaminococcus	Bacteria	Terrabacteria group	Firmicutes	2.28786	-	-	-	5
Acidaminococcus fermentans	Bacteria	Terrabacteria group	Firmicutes	2.32977	1	-	-	1
Acidaminococcus intestini	Bacteria	Terrabacteria group	Firmicutes	2.48777	1	-	-	2
Acidaminococcus intestini CAG:325	Bacteria	Terrabacteria group	Firmicutes	2.16158	-	-	-	1
Acidianus bottle-shaped virus	Viruses	dsDNA viruses, no RNA stage	Ampullaviridae	0.023814	1	-	-	1
Acidianus bottle-shaped virus 2	Viruses	dsDNA viruses, no RNA stage	Ampullaviridae	0.022613	1	-	-	1
Acidianus bottle-shaped virus 3	Viruses	dsDNA viruses, no RNA stage	Ampullaviridae	0.028489	1	-	-	1
Acidianus filamentous virus 1	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.020869	1	-	-	1
Acidianus filamentous virus 2	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.031787	1	-	-	1
Acidianus filamentous virus 3	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.040449	1	-	-	1
Acidianus filamentous virus 6	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.039577	1	-	-	1
Acidianus filamentous virus 7	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.036895	1	-	-	1
Acidianus filamentous virus 8	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.038179	1	-	-	1
Acidianus filamentous virus 9	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.041172	1	-	-	1
Acidianus hospitalis	Archaea	TACK group	Crenarchaeota	2.13765	1	-	-	1
Acidianus rod-shaped virus 1	Viruses	dsDNA viruses, no RNA stage	Rudiviridae	0.024655	1	-	-	1
Acidianus rod-shaped virus 2	Viruses	dsDNA viruses, no RNA stage	Rudiviridae	0.029763	1	-	-	1
Acidianus spindle-shaped virus 1	Viruses	dsDNA viruses, no RNA stage	Fuselloviridae	0.024186	1	-	-	1
Acidianus tailed spindle virus	Viruses	dsDNA viruses, no RNA stage	Bicaudaviridae	0.070812	1	-	-	1
Acidianus two-tailed virus	Viruses	dsDNA viruses, no RNA stage	Bicaudaviridae	0.06273	1	-	-	1
Acidibacillus ferrooxidans	Bacteria	Terrabacteria group	Firmicutes	3.20219	-	-	-	3
Acidicaldus organivorans	Bacteria	Proteobacteria	Alphaproteobacteria	2.98963	-	-	-	1
Acidihalobacter prosperus	Bacteria	Proteobacteria	Gammaproteobacteria	3.35968	-	-	-	1
Acidilobus	Archaea	TACK group	Crenarchaeota	1.54851	-	-	-	4
Acidilobus saccharovorans	Archaea	TACK group	Crenarchaeota	1.49645	1	-	-	1
Acidimicrobiaceae bacterium RAAP-2	Bacteria	Terrabacteria group	Actinobacteria	2.24069	-	-	-	1
Acidimicrobiaceae bacterium RAAP-3	Bacteria	Terrabacteria group	Actinobacteria	3.04698	-	-	-	1
Acidimicrobiia bacterium BACL6 MAG-120322-bin79	Bacteria	Terrabacteria group	Actinobacteria	1.75361	-	-	-	1
Acidimicrobiia bacterium BACL6 MAG-120910-bin40	Bacteria	Terrabacteria group	Actinobacteria	1.68832	-	-	-	1
Acidimicrobiia bacterium BACL6 MAG-120924-bin43	Bacteria	Terrabacteria group	Actinobacteria	1.54262	-	-	-	1
Acidimicrobiia bacterium BACL6 MAG-121220-bin61	Bacteria	Terrabacteria group	Actinobacteria	1.20514	-	-	-	1
Acidimicrobiia bacterium REDSEA-S09_B7	Bacteria	Terrabacteria group	Actinobacteria	2.02117	-	-	-	1
Acidimicrobiia bacterium REDSEA-S14_B4	Bacteria	Terrabacteria group	Actinobacteria	2.0985	-	-	-	1
Acidimicrobiia bacterium REDSEA-S20_B6	Bacteria	Terrabacteria group	Actinobacteria	1.75716	-	-	-	1
Acidimicrobiia bacterium REDSEA-S21_B10	Bacteria	Terrabacteria group	Actinobacteria	1.72669	-	-	-	1
Acidimicrobiia bacterium REDSEA-S33_B8N9	Bacteria	Terrabacteria group	Actinobacteria	2.14939	-	-	-	1
Acidimicrobium	Bacteria	Terrabacteria group	Actinobacteria	1.67206	-	-	-	4
Acidimicrobium ferrooxidans	Bacteria	Terrabacteria group	Actinobacteria	2.15816	1	-	-	1
Acidiphilium	Bacteria	Proteobacteria	Alphaproteobacteria	4.18289	-	-	-	3
Acidiphilium angustum	Bacteria	Proteobacteria	Alphaproteobacteria	4.17541	-	-	-	1
Acidiphilium cryptum	Bacteria	Proteobacteria	Alphaproteobacteria	3.96308	1	-	8	1
Acidiphilium multivorum	Bacteria	Proteobacteria	Alphaproteobacteria	4.21474	1	-	8	2
Acidiplasma	Archaea	Euryarchaeota	Thermoplasmata	1.74736	-	-	-	1
Acidiplasma aeolicum	Archaea	Euryarchaeota	Thermoplasmata	1.7789	-	-	-	2
Acidiplasma cupricumulans	Archaea	Euryarchaeota	Thermoplasmata	1.74753	-	-	-	2
Acidisphaera rubrifaciens	Bacteria	Proteobacteria	Alphaproteobacteria	3.86227	-	-	-	1
Aciditerrimonas ferrireducens	Bacteria	Terrabacteria group	Actinobacteria	1.17694	-	-	-	1
Acidithiobacillales bacterium SG8_45	Bacteria	Proteobacteria	Acidithiobacillia	2.28308	-	-	-	1
Acidithiobacillales bacterium SM1_46	Bacteria	Proteobacteria	Acidithiobacillia	2.61636	-	-	-	1
Acidithiobacillales bacterium SM23_46	Bacteria	Proteobacteria	Acidithiobacillia	2.82603	-	-	-	1
Acidithiobacillus	Bacteria	Proteobacteria	Acidithiobacillia	3.17493	-	-	-	1
Acidithiobacillus caldus	Bacteria	Proteobacteria	Acidithiobacillia	2.98705	1	-	4	3
Acidithiobacillus ferrivorans	Bacteria	Proteobacteria	Acidithiobacillia	3.20755	1	-	-	3
Acidithiobacillus ferrooxidans	Bacteria	Proteobacteria	Acidithiobacillia	2.9824	1	-	-	6
Acidithiobacillus thiooxidans	Bacteria	Proteobacteria	Acidithiobacillia	3.01987	-	-	-	3
Acidithrix ferrooxidans	Bacteria	Terrabacteria group	Actinobacteria	4.01987	-	-	-	1
Acidobacteria bacterium DSM 100886	Bacteria	Acidobacteria	unclassified Acidobacteria	7.48031	1	-	-	1
Acidobacteria bacterium Ga0074141	Bacteria	Acidobacteria	unclassified Acidobacteria	3.96415	-	-	-	1
Acidobacteria bacterium Ga0077522	Bacteria	Acidobacteria	unclassified Acidobacteria	5.44409	-	-	-	1
Acidobacteria bacterium Ga0077534	Bacteria	Acidobacteria	unclassified Acidobacteria	4.20047	-	-	-	1
Acidobacteria bacterium Ga0077551	Bacteria	Acidobacteria	unclassified Acidobacteria	3.08058	-	-	-	1
Acidobacteria bacterium Ga0077553	Bacteria	Acidobacteria	unclassified Acidobacteria	6.45451	-	-	-	1
Acidobacteria bacterium JGI 0001001-H03	Bacteria	Acidobacteria	unclassified Acidobacteria	0.789133	-	-	-	1
Acidobacteria bacterium KBS 146	Bacteria	Acidobacteria	Acidobacteriia	5.00104	-	-	-	1
Acidobacteria bacterium Mor1	Bacteria	Acidobacteria	unclassified Acidobacteria	5.98954	1	-	-	1
Acidobacteria bacterium OLB17	Bacteria	Acidobacteria	unclassified Acidobacteria	2.97178	-	-	-	1
Acidobacteria bacterium SCGC AG-212-P17	Bacteria	Acidobacteria	unclassified Acidobacteria	0.615657	-	-	-	1
Acidobacteriaceae bacterium KBS 83	Bacteria	Acidobacteria	Acidobacteriia	6.25081	-	-	-	1
Acidobacteriaceae bacterium KBS 89	Bacteria	Acidobacteria	Acidobacteriia	6.00993	-	-	-	1
Acidobacteriaceae bacterium KBS 96	Bacteria	Acidobacteria	Acidobacteriia	6.69216	-	-	-	1
Acidobacteriaceae bacterium TAA166	Bacteria	Acidobacteria	Acidobacteriia	6.13693	-	-	-	1
Acidobacteriaceae bacterium URHE0068	Bacteria	Acidobacteria	Acidobacteriia	6.67919	-	-	-	1
Acidobacterium	Bacteria	Acidobacteria	Acidobacteriia	3.68652	-	-	-	1
Acidobacterium capsulatum	Bacteria	Acidobacteria	Acidobacteriia	4.12736	1	-	-	1
Acidocella	Bacteria	Proteobacteria	Alphaproteobacteria	3.62486	-	-	-	1
Acidocella aminolytica	Bacteria	Proteobacteria	Alphaproteobacteria	3.98473	-	-	-	1
Acidocella facilis	Bacteria	Proteobacteria	Alphaproteobacteria	3.40393	-	-	-	1
Acidomonas methanolica	Bacteria	Proteobacteria	Alphaproteobacteria	3.69003	-	-	-	1
Acidomyces richmondensis	Eukaryota	Fungi	Ascomycetes	26.82	-	-	-	2
Acidothermus cellulolyticus	Bacteria	Terrabacteria group	Actinobacteria	2.44354	1	-	-	1
Acidovorax	Bacteria	Proteobacteria	Betaproteobacteria	6.75633	1	-	2	23
Acidovorax avenae	Bacteria	Proteobacteria	Betaproteobacteria	5.48217	1	-	-	3
Acidovorax caeni	Bacteria	Proteobacteria	Betaproteobacteria	4.19093	-	-	-	1
Acidovorax citrulli	Bacteria	Proteobacteria	Betaproteobacteria	5.35277	1	-	-	5
Acidovorax delafieldii	Bacteria	Proteobacteria	Betaproteobacteria	4.84209	-	-	-	3
Acidovorax ebreus	Bacteria	Proteobacteria	Betaproteobacteria	3.79657	1	-	-	1
Acidovorax oryzae	Bacteria	Proteobacteria	Betaproteobacteria	5.52678	-	-	-	1
Acidovorax radicis	Bacteria	Proteobacteria	Betaproteobacteria	5.53023	-	-	-	2
Acidovorax temperans	Bacteria	Proteobacteria	Betaproteobacteria	4.47578	-	-	-	1
Aciduliprofundum	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.43709	1	-	-	1
Aciduliprofundum boonei	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.48678	1	-	-	2
Acinetobacter	Bacteria	Proteobacteria	Gammaproteobacteria	3.48684	1	-	5	152
Acinetobacter bacteriophage AP22	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.046387	1	-	-	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	4.33579	1	-	6	1593
Acinetobacter baylyi	Bacteria	Proteobacteria	Gammaproteobacteria	3.7469	-	-	-	4
Acinetobacter beijerinckii	Bacteria	Proteobacteria	Gammaproteobacteria	3.56333	-	-	-	3
Acinetobacter bereziniae	Bacteria	Proteobacteria	Gammaproteobacteria	5.02653	-	-	1	7
Acinetobacter bohemicus	Bacteria	Proteobacteria	Gammaproteobacteria	3.65769	-	-	-	1
Acinetobacter bouvetii	Bacteria	Proteobacteria	Gammaproteobacteria	3.38882	-	-	-	3
Acinetobacter brisouii	Bacteria	Proteobacteria	Gammaproteobacteria	3.14851	-	-	-	4
Acinetobacter calcoaceticus	Bacteria	Proteobacteria	Gammaproteobacteria	4.10541	-	-	2	16
Acinetobacter equi	Bacteria	Proteobacteria	Gammaproteobacteria	3.05427	1	-	-	1
Acinetobacter gandensis	Bacteria	Proteobacteria	Gammaproteobacteria	3.17636	-	-	-	1
Acinetobacter genomosp. NB14	Bacteria	Proteobacteria	Gammaproteobacteria	3.90573	-	-	1	1
Acinetobacter gerneri	Bacteria	Proteobacteria	Gammaproteobacteria	4.59517	-	-	-	3
Acinetobacter guillouiae	Bacteria	Proteobacteria	Gammaproteobacteria	4.90577	-	-	-	4
Acinetobacter gyllenbergii	Bacteria	Proteobacteria	Gammaproteobacteria	4.55135	-	-	-	5
Acinetobacter haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	3.7152	-	-	-	9
Acinetobacter harbinensis	Bacteria	Proteobacteria	Gammaproteobacteria	2.89979	-	-	-	1
Acinetobacter indicus	Bacteria	Proteobacteria	Gammaproteobacteria	3.21164	-	-	-	4
Acinetobacter johnsonii	Bacteria	Proteobacteria	Gammaproteobacteria	4.08133	1	-	8	9
Acinetobacter junii	Bacteria	Proteobacteria	Gammaproteobacteria	3.78235	-	-	-	10
Acinetobacter lactucae	Bacteria	Proteobacteria	Gammaproteobacteria	3.91621	-	-	-	1
Acinetobacter lwoffii	Bacteria	Proteobacteria	Gammaproteobacteria	3.21841	1	-	-	11
Acinetobacter nectaris	Bacteria	Proteobacteria	Gammaproteobacteria	2.66894	-	-	-	1
Acinetobacter nosocomialis	Bacteria	Proteobacteria	Gammaproteobacteria	4.19141	1	-	3	24
Acinetobacter oleivorans	Bacteria	Proteobacteria	Gammaproteobacteria	4.15254	1	-	-	4
Acinetobacter parvus	Bacteria	Proteobacteria	Gammaproteobacteria	2.91264	-	-	-	5
Acinetobacter phage 133	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.159801	1	-	-	1
Acinetobacter phage AB3	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.031185	1	-	-	1
Acinetobacter phage AP205	Viruses	ssRNA viruses	Leviviridae	0.004268	1	-	-	1
Acinetobacter phage Abp1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.042185	1	-	-	1
Acinetobacter phage Ac42	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.167716	1	-	-	1
Acinetobacter phage Acj61	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.164093	1	-	-	1
Acinetobacter phage Acj9	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.169947	1	-	-	1
Acinetobacter phage Bphi-B1251	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.045364	1	-	-	1
Acinetobacter phage Fri1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041805	1	-	-	1
Acinetobacter phage IME_AB3	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.04305	1	-	-	1
Acinetobacter phage Petty	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.040739	1	-	-	1
Acinetobacter phage Presley	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.077792	1	-	-	1
Acinetobacter phage YMC-13-01-C62	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.044844	1	-	-	1
Acinetobacter phage YMC11/12/R2315	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.044846	1	-	-	1
Acinetobacter phage YMC13/03/R2096	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.09817	1	-	-	1
Acinetobacter phage ZZ1	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.166687	1	-	-	1
Acinetobacter phage phiAB1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041526	1	-	-	1
Acinetobacter phage phiAC-1	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.043216	1	-	-	1
Acinetobacter phage vB_AbaM_Acibel004	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.09973	1	-	-	1
Acinetobacter phage vB_AbaP_Acibel007	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.042654	1	-	-	1
Acinetobacter phage vB_AbaP_IME200	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041243	1	-	-	1
Acinetobacter phage vB_AbaP_PD-6A3	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041563	1	-	-	1
Acinetobacter phage vB_AbaP_PD-AB9	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.040938	1	-	-	1
Acinetobacter pittii	Bacteria	Proteobacteria	Gammaproteobacteria	3.86253	1	-	3	55
Acinetobacter radioresistens	Bacteria	Proteobacteria	Gammaproteobacteria	3.19549	-	-	4	9
Acinetobacter rudis	Bacteria	Proteobacteria	Gammaproteobacteria	4.06669	-	-	-	2
Acinetobacter schindleri	Bacteria	Proteobacteria	Gammaproteobacteria	3.39456	-	-	-	4
Acinetobacter seifertii	Bacteria	Proteobacteria	Gammaproteobacteria	4.23169	-	-	-	2
Acinetobacter soli	Bacteria	Proteobacteria	Gammaproteobacteria	3.46351	-	-	-	5
Acinetobacter tandoii	Bacteria	Proteobacteria	Gammaproteobacteria	4.07892	-	-	-	3
Acinetobacter tjernbergiae	Bacteria	Proteobacteria	Gammaproteobacteria	3.69238	-	-	-	3
Acinetobacter towneri	Bacteria	Proteobacteria	Gammaproteobacteria	2.95235	-	-	-	3
Acinetobacter ursingii	Bacteria	Proteobacteria	Gammaproteobacteria	3.53574	-	-	-	9
Acinetobacter venetianus	Bacteria	Proteobacteria	Gammaproteobacteria	3.54451	1	-	1	9
Acinonyx jubatus	Eukaryota	Animals	Mammals	2372.55	-	1	-	1
Aconitum latent virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008657	1	-	-	1
Acremonium chrysogenum	Eukaryota	Fungi	Ascomycetes	28.5905	-	1	-	1
Acremonium furcatum	Eukaryota	Fungi	Ascomycetes	40.3207	-	-	-	1
Acromyrmex echinatior	Eukaryota	Animals	Insects	295.945	-	-	-	1
Acropora digitifera	Eukaryota	Animals	Other Animals	447.497	-	1	-	1
Actibacterium atlanticum	Bacteria	Proteobacteria	Alphaproteobacteria	3.17638	-	-	-	1
Actibacterium mucosum	Bacteria	Proteobacteria	Alphaproteobacteria	3.71534	-	-	-	1
Actinidia chinensis	Eukaryota	Plants	Land Plants	604.217	-	-	-	1
Actinidia virus B	Viruses	ssRNA viruses	Betaflexiviridae	0.007488	1	-	-	1
Actinidia virus X	Viruses	ssRNA viruses	Alphaflexiviridae	0.006888	1	-	-	1
Actinoalloteichus cyanogriseus	Bacteria	Terrabacteria group	Actinobacteria	6.02637	-	-	-	3
Actinoalloteichus spitiensis	Bacteria	Terrabacteria group	Actinobacteria	5.70653	-	-	-	1
Actinobacillus capsulatus	Bacteria	Proteobacteria	Gammaproteobacteria	2.62114	-	-	-	1
Actinobacillus equuli	Bacteria	Proteobacteria	Gammaproteobacteria	2.43153	1	-	-	1
Actinobacillus minor	Bacteria	Proteobacteria	Gammaproteobacteria	2.42526	-	-	-	2
Actinobacillus pleuropneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	2.27448	1	-	3	23
Actinobacillus succinogenes	Bacteria	Proteobacteria	Gammaproteobacteria	2.31966	1	-	-	1
Actinobacillus suis	Bacteria	Proteobacteria	Gammaproteobacteria	2.5016	1	-	-	2
Actinobacillus ureae	Bacteria	Proteobacteria	Gammaproteobacteria	2.35447	-	-	-	1
